idmaster,onet_task,idusing,onet_task1,similscore
6199,inspect measure finished workpieces to determine conformance to specifications using measuring instruments such as gauges micrometers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8493
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.8475
4169,direct activities of workers in laboratory,165,develop testing procedures direct activities of workers in laboratory,0.8464
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8464
7922,monitor environments to ensure maintenance of optimum animal plant life,264,monitor environments to ensure maintenance of optimum conditions aquatic life,0.846
14079,verify conformance of machined work to specifications using measuring instruments such as callipers micrometers fixed telescoping gauges,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8413
6261,inspect sample workpieces to verify conformance with specifications using instruments such as gauges micrometers dial indicators,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8411
5197,examine measure weigh materials products to verify conformance to specifications using measuring devices such as rulers micrometers scales,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8401
10158,prepare reports of findings recommendations,329,prepare reports of findings recommendations using typewriters computers,0.84
11516,remove workpieces from machines check to ensure that they conform to specifications using measuring instruments such as microscopes gauges callipers micrometers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8385
6319,inspect weigh measure products to verify conformance to specifications using instruments such as micrometers callipers magnifiers rulers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8351
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8349
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.8347
13968,typeset measure dimensions spacing positioning of page elements such as copy illustrations to verify conformance to specifications using printers ruler layout software,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8329
7645,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers callipers gauges micrometers,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.8319
13968,typeset measure dimensions spacing positioning of page elements such as copy illustrations to verify conformance to specifications using printers ruler layout software,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8318
6093,inspect completed transportation projects to ensure safety compliance with applicable standards regulations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.8318
9161,perform clerical duties such as scheduling appointments collecting data documenting health insurance billings,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.8306
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8304
3140,create interpret engineering drawings schematic diagrams formulas blueprints management engineering staff,238,interpret engineering drawings sketches diagrams,0.8303
6313,inspect vehicles equipment to ensure compliance with rules standards regulations,228,inspect public establishments to ensure compliance with rules regulations,0.827
6261,inspect sample workpieces to verify conformance with specifications using instruments such as gauges micrometers dial indicators,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8267
6261,inspect sample workpieces to verify conformance with specifications using instruments such as gauges micrometers dial indicators,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8255
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.8251
7651,measure energy usage with devices such as data loggers universal data recorders light meters sling psychrometers psychrometric charts flue gas analyzers amp probes watt meters volt meters thermometers utility meters,283,operate testing equipment such as heat stress meters octave band analyzers motion analysis equipment inclinometers light meters velometers sling psychrometers colormetric detection tubes,0.825
14080,verify conformance of parts to stock lists blueprints using measuring instruments such as callipers gauges micrometers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8249
6319,inspect weigh measure products to verify conformance to specifications using instruments such as micrometers callipers magnifiers rulers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8238
7838,modify maintain repair electrical electronic mechanical components equipment systems to ensure proper functioning,260,modify maintain repair electronics equipment systems to ensure that they function properly,0.8237
5197,examine measure weigh materials products to verify conformance to specifications using measuring devices such as rulers micrometers scales,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8237
10154,prepare reports describing contamination tests material equipment decontaminated methods used in decontamination processes,332,prepare reports to communicate information such as contamination test results decontamination results decontamination procedures,0.823
14092,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as callipers gauge blocks micrometers dial indicators,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.8229
14079,verify conformance of machined work to specifications using measuring instruments such as callipers micrometers fixed telescoping gauges,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.8226
235,administer standardized ability achievement tests to kindergarten students with special needs,3,administer standardized ability achievement tests interpret results to determine students strengths areas of need,0.8189
10895,read job orders to determine the type of work to be done the quantities to be produced the materials needed,268,monitor network performance to determine whether adjustments need to be made to determine where changes will need to be made in the future,0.8185
6819,keep informed regarding pending industry changes trends best practices,243,keep informed regarding pending industry changes trends best practices assess the potential impact of these changes on organizational processes,0.818
14090,verify depths dimensions of cuts carvings to ensure adherence to specifications blueprints models using measuring instruments,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8174
6199,inspect measure finished workpieces to determine conformance to specifications using measuring instruments such as gauges micrometers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8167
6164,inspect individual parts assemblies installations using measuring instruments such as callipers scales micrometers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.816
14080,verify conformance of parts to stock lists blueprints using measuring instruments such as callipers gauges micrometers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.8155
14092,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as callipers gauge blocks micrometers dial indicators,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.8152
14095,verify dimensions of products using measuring instruments such as callipers vernier gauges protractors,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.8152
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.8145
9700,plan programs of events schedules of activities,66,collaborate with staff members to plan develop programs of events schedules of activities menus,0.8143
5193,examine measure completed materials products to verify conformance to specifications using measuring devices such as tape measures gauges callipers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8136
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8135
7621,measure completed workpieces to verify conformance to specifications using micrometers gauges callipers templates rulers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8117
7645,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers callipers gauges micrometers,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.8108
14090,verify depths dimensions of cuts carvings to ensure adherence to specifications blueprints models using measuring instruments,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8107
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8107
10895,read job orders to determine the type of work to be done the quantities to be produced the materials needed,366,read prescriptions specifications to determine the type of product device to be fabricated the materials tools that will be required,0.8084
14092,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as callipers gauge blocks micrometers dial indicators,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.8083
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8078
6199,inspect measure finished workpieces to determine conformance to specifications using measuring instruments such as gauges micrometers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8076
6164,inspect individual parts assemblies installations using measuring instruments such as callipers scales micrometers,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.8075
6199,inspect measure finished workpieces to determine conformance to specifications using measuring instruments such as gauges micrometers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8074
14081,verify conformance of patterns template dimensions to specifications using measuring instruments such as callipers scales micrometers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.8065
11516,remove workpieces from machines check to ensure that they conform to specifications using measuring instruments such as microscopes gauges callipers micrometers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8064
